"DealID","PK"
"38829791","13137972__169800000001_"
"38829792","13137969__169800000001_"
"38829793","13137971__169800000001_"
"38829794","13137970__169800000001_"
"38829795","13137973__169800000001_"
"38829796","13137968__169800000001_"
"38829797","13137967__169800000001_"
"38829798","13138064__169800000001_"
"38829802","13142089__554460216_"
"38829803","13142092__554460216_"
"38829804","13142086__554460216_"
"38829805","13142085__554460216_"
"38829806","13142087__554460216_"
"38829807","13142088__554460216_"
"38829810","13142097__554460216_"
"38829892","13227554_13227556_169800000003_"
"38829893","13227563_13227565_169800000003_"
"38829894","13227563_13227564_169800000003_"
"38829895","13227557_13227558_169800000003_"
"38829896","13227551_13227553_169800000003_"
"38829897","13227560_13227561_169800000003_"
"38829898","13227551_13227552_169800000003_"
"38829899","13227554_13227555_169800000003_"
"38829900","13227557_13227559_169800000003_"
"38829901","13227560_13227562_169800000003_"
"38829775","1006245_1006247_500390516_"
"38829776","1006245_1006246_500390516_"
"38829777","1006259_1006261_724060542_"
"38829778","1006259_1006260_724060542_"
"38829809","1006312_1006314_749844136_"
"38829811","1006312_1006313_749844136_"
"38829889","1006448_1006450_418676142_"
"38829890","1006448_1006449_418676142_"
"38829910","1006476_1006478_223963868_"
"38829911","1006476_1006477_223963868_"
